종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","2885","95","3.41","2770","2885","2755","870995","2479964755","140028212170","48536642"
"054620","APS","중견기업부","7310","230","3.25","7100","7410","7000","72073","517280580","149081755510","20394221"
"265520","AP시스템","우량기업부","20800","-500","-2.35","21250","21250","20750","62176","1299617950","317853556800","15281421"
"211270","AP위성","벤처기업부","16120","-710","-4.22","16660","16700","16000","335487","5427603680","243126740480","15082304"
"139050","BF랩스","벤처기업부","7730","510","7.06","7460","7900","7220","360132","2503754950","66822379230","8644551"
"126600","BGF에코머티리얼즈","우량기업부","4425","-55","-1.23","4440","4475","4350","111556","489991590","239097241875","54033275"
"013720","CBI","중견기업부","1738","-108","-5.85","1832","1840","1680","1377094","2426357988","74445818744","42834188"
"083790","CG인바이츠","벤처기업부","3380","280","9.03","3100","3380","3020","401177","1299330550","259902335160","76894182"
"035760","CJ ENM","우량기업부","76300","-100","-0.13","76400","77300","74800","68492","5197057600","1673194450200","21929154"
"311690","CJ 바이오사이언스","기술성장기업부","14650","90","0.62","14550","14710","14440","6596","95801420","133498154300","9112502"
"051500","CJ프레시웨이","우량기업부","24300","50","0.21","24250","24850","24000","13352","324261550","288479539800","11871586"
"058820","CMG제약","중견기업부","2170","-25","-1.14","2195","2200","2170","258351","562399480","301396169480","138892244"
"023460","CNH","중견기업부","1787","-3","-0.17","1789","1795","1760","2633","4700607","66476400000","37200000"
"056730","CNT85","중견기업부","1178","-12","-1.01","1190","1193","1160","15648","18413428","87302977108","74111186"
"065770","CS","벤처기업부","1237","-13","-1.04","1250","1250","1230","19433","24064104","24011567810","19411130"
"083660","CSA 코스믹","관리종목(소속부없음)","1244","-2","-0.16","1246","1260","1233","37916","47164419","76191493164","61247181"
"456440","DB금융스팩11호","SPAC(소속부없음)","2270","10","0.44","2285","2285","2230","25450","57309700","12065050000","5315000"
"060900","DGP","중견기업부","1480","-77","-4.95","1552","1589","1455","221406","334383226","37382178920","25258229"
"290120","DH오토리드","우량기업부","3250","-40","-1.22","3270","3290","3210","9304","30143785","50424198500","15515138"
"025440","DH오토웨어","중견기업부","1930","-6","-0.31","1936","1946","1917","29851","57644406","59407762320","30781224"
"068790","DMS","우량기업부","6690","10","0.15","6710","6730","6640","38161","254806670","164393778090","24573061"
"241520","DSC인베스트먼트","중견기업부","4185","-475","-10.19","4505","4600","4105","1819165","7843505300","116390721555","27811403"
"180400","DXVX","중견기업부","3895","-110","-2.75","3955","4030","3835","102297","397146045","117704687640","30219432"
"245620","EDGC","기술성장기업부","501","-27","-5.11","515","527","500","2217571","1121266910","60551132043","120860543"
"037370","EG","중견기업부","9660","-130","-1.33","9710","9720","9580","43499","418864450","83317229520","8624972"
"050120","ES큐브","벤처기업부","2635","20","0.76","2635","2670","2615","6757","17857815","35741366610","13564086"
"214270","FSN","중견기업부","2835","10","0.35","2805","2905","2760","518368","1469991545","94265062605","33250463"
"130500","GH신소재","중견기업부","2735","-15","-0.55","2750","2750","2715","18493","50455105","39780717220","14545052"
"900290","GRT","외국기업(소속부없음)","3595","-125","-3.36","3710","3730","3530","53185","191290290","242213125000","67375000"
"083450","GST","우량기업부","55100","300","0.55","52900","56000","51800","1131075","61399526100","513407749500","9317745"
"297890","HB솔루션","우량기업부","4155","-45","-1.07","4185","4210","4090","1032761","4298315450","303789991290","73114318"
"440290","HB인베스트먼트","중견기업부","3215","-30","-0.92","3250","3280","3185","132969","427776620","86377437150","26867010"
"078150","HB테크놀러지","우량기업부","2390","-40","-1.65","2395","2430","2310","4187885","10280488205","221591039240","92715916"
"195940","HK이노엔","중견기업부","36150","-300","-0.82","36200","36700","35900","112022","4061401300","1024125559650","28329891"
"028300","HLB","중견기업부","102400","-100","-0.10","104200","106300","100600","2557028","263492282000","13395152998400","130812041"
"278650","HLB바이오스텝","중견기업부","3885","-5","-0.13","3950","3985","3800","3018168","11686134350","331965437265","85447989"
"067630","HLB생명과학","중견기업부","19290","0","0.00","19700","19870","19000","3735553","72680705200","2046735801270","106103463"
"024850","HLB이노베이션","중견기업부","4185","260","6.62","3950","4345","3865","2772411","11367776105","285253140510","68160846"
"047920","HLB제약","기술성장기업부","31750","2200","7.45","30550","33600","30000","5831409","186592023500","1005104098500","31656822"
"115450","HLB테라퓨틱스","중견기업부","10130","180","1.81","10170","10340","9710","3884219","38791086000","763327622230","75353171"
"046210","HLB파나진","벤처기업부","4615","-15","-0.32","4700","4715","4505","513410","2355364530","189235892105","41004527"
